id,product_name,category,manufacturer,net_quantity,mrp,mfg_date,consumer_care,country_of_origin,compliance_status,violations,scanned_timestamp,ocr_confidence
LMC-01001,Kashmiri Degi Mirch Powder 100 g,Spices & Condiments,"Himalayan Organic Ventures, SIDCUL Industrial Estate, Pantnagar, Uttarakhand - 263153",100 g,Rs. 401.00 (Incl. of all taxes),06/2026,Email: care@himalayan.com | Ph: 1800-567-2610,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-29 06:44:36,96%
LMC-01002,Cold Pressed Mustard Oil 5 L,Edible Oils,"Surya Packaged Commodities LLP, Industrial Growth Centre, Mandideep, Bhopal, MP - 462046",5 L,Rs. 350.00 (Incl. of all taxes),05/2026,Email: care@surya.com | Ph: 1800-668-6863,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-23 17:38:36,95%
LMC-01003,Mixed Fruit Orchard Blend 250 ml,Beverages & Juices,"Kaveri Spices & Naturals, 14/B, Spice Park, Puttady, Idukki, Kerala - 685551",Not Declared,Rs. 444.00 (Incl. of all taxes),05/2026,Email: care@kaveri.com | Ph: 1800-866-9480,India,NON-COMPLIANT,Rule 6(1)(c): Net quantity declaration absent,2026-07-09 15:29:36,94%
LMC-01004,Sparkling Apple Cider Drink 5 L,Beverages & Juices,"Godavari Mills & Refineries, Sy. No. 340, Autonagar, Guntur, Andhra Pradesh - 522001",5 L,Rs. 400.00 (Incl. of all taxes),07/2026,Email: care@godavari.com | Ph: 1800-868-6145,India,NEEDS REVIEW,Rule 7: Font size / unit symbol ambiguous or truncated under OCR,2026-08-14 15:34:36,64%
LMC-01005,Royal Garam Masala Blend 200 g,Spices & Condiments,"Pristine Foods & Agro Ltd, Phase 2, Peenya Industrial Area, Bengaluru, Karnataka - 560058",200 g,Rs. 818.00 (Incl. of all taxes),01/2026,Email: care@pristine.com | Ph: 1800-631-6924,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-31 13:13:36,89%
LMC-01006,Marie Crisp Tea Biscuits 250 g,Biscuits & Cookies,"Himalayan Organic Ventures, SIDCUL Industrial Estate, Pantnagar, Uttarakhand - 263153",250 gms,Rs. 551.00 (Incl. of all taxes),01/2026,Email: care@himalayan.com | Ph: 1800-318-2144,India,NEEDS REVIEW,Rule 6(1)(c): Non-standard unit abbreviation used ('gms' / 'gm' instead of standard 'g'),2026-07-06 16:17:36,67%
LMC-01007,Darjeeling Whole Leaf Black Tea 100 g,Tea & Coffee,"Ananya Consumer Goods Ltd, Plot 42, Sector 8, IMT Manesar, Gurugram, Haryana - 122050",100 g,Rs. 218.00 (Incl. of all taxes),02/2026,Email: care@ananya.com | Ph: 1800-632-4689,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-12 02:47:36,95%
LMC-01008,Masala Potato Wafers 750 g,Snacks & Namkeen,"Surya Packaged Commodities LLP, Industrial Growth Centre, Mandideep, Bhopal, MP - 462046",750 g,Rs. 904.00 (Incl. of all taxes),08/2026,Email: care@surya.com | Ph: 1800-929-3650,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-10 09:06:36,88%
LMC-01009,Roasted Arabica Coffee Beans 200 g,Tea & Coffee,"Himalayan Organic Ventures, SIDCUL Industrial Estate, Pantnagar, Uttarakhand - 263153",Not Declared,Rs. 741.00 (Incl. of all taxes),07/2026,Not Declared,India,NON-COMPLIANT,Rule 6(1)(e): Complete consumer care grievance contact details missing; Rule 6(1)(c): Net quantity declaration absent,2026-08-15 17:02:36,85%
LMC-01010,Refined Sunflower Cooking Oil 100 ml,Edible Oils,"Himalayan Organic Ventures, SIDCUL Industrial Estate, Pantnagar, Uttarakhand - 263153",100 ml,Rs. 538.00 (Incl. of all taxes),05/2026,Email: care@himalayan.com | Ph: 1800-886-8293,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-19 10:33:36,89%
LMC-01011,Organic Besan Gram Flour 2 kg,Atta & Flours,"Pristine Foods & Agro Ltd, Phase 2, Peenya Industrial Area, Bengaluru, Karnataka - 560058",2 kg,Rs. 916.00 (Incl. of all taxes),07/2026,Email: care@pristine.com | Ph: 1800-392-3686,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-19 16:30:36,89%
LMC-01012,Refined Groundnut Oil 250 ml,Edible Oils,"Kaveri Spices & Naturals, 14/B, Spice Park, Puttady, Idukki, Kerala - 685551",250 ml,Rs. 310.00 (Incl. of all taxes),04/2026,Email: care@kaveri.com | Ph: 1800-343-4259,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-10 15:18:36,96%
LMC-01013,Refined Groundnut Oil 750 ml,Edible Oils,"Pristine Foods & Agro Ltd, Phase 2, Peenya Industrial Area, Bengaluru, Karnataka - 560058",750 ml,Rs. 924.00 (Incl. of all taxes),02/2026,Email: care@pristine.com | Ph: 1800-531-7520,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-08 12:00:36,92%
LMC-01014,Rava Upma Breakfast Mix 250 g,Ready-to-Eat,"Kaveri Spices & Naturals, 14/B, Spice Park, Puttady, Idukki, Kerala - 685551",250 g,Rs. 109.00 (Incl. of all taxes),05/2026,Email: care@kaveri.com | Ph: 1800-435-8475,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-28 18:13:36,95%
LMC-01015,Poha Instant Breakfast Bowl 250 g,Ready-to-Eat,Not Declared,250 g,Rs. 75.00 (Incl. of all taxes),05/2026,Not Declared,India,NON-COMPLIANT,Rule 6(1)(a): Manufacturer/packer declaration entirely missing; Rule 6(1)(e): Complete consumer care grievance contact details missing,2026-07-19 23:39:36,85%
LMC-01016,Roasted Arabica Coffee Beans 100 g,Tea & Coffee,"Kaveri Spices & Naturals, 14/B, Spice Park, Puttady, Idukki, Kerala - 685551",100 g,Rs. 99.00 (Incl. of all taxes),06/2026,Email: care@kaveri.com | Ph: 1800-340-8324,Not Declared,NON-COMPLIANT,Rule 6(1)(n): Missing Country of Origin declaration,2026-07-12 19:07:36,86%
LMC-01017,Mixed Fruit Orchard Blend 1 L,Beverages & Juices,"Ananya Consumer Goods Ltd, Plot 42, Sector 8, IMT Manesar, Gurugram, Haryana - 122050",1 L,Rs. 220.00 (Incl. of all taxes),02/2026,Email: care@ananya.com | Ph: 1800-558-2451,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-10 13:56:36,93%
LMC-01018,Rava Upma Breakfast Mix 50 g,Ready-to-Eat,"Surya Packaged Commodities LLP, Industrial Growth Centre, Mandideep, Bhopal, MP - 462046",50 g,Rs. 949.00 (Incl. of all taxes),02/2026,Email: care@surya.com | Ph: 1800-481-8539,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-22 17:00:36,89%
LMC-01019,Almond Cashew Shortbread 400 g,Biscuits & Cookies,"Ananya Consumer Goods Ltd, Gurugram",400 g,Rs. 770.00 (Incl. of all taxes),06/2026,Email: care@ananya.com | Ph: 1800-880-1625,India,NEEDS REVIEW,Rule 6(1)(a): Physical address of manufacturer incomplete (missing PIN code/city),2026-08-13 12:40:36,75%
